state,lat,suburb,lng,pid,day,street,garage,price,body,postcode,url,bedroom,typeof,bathroom,land
,,,,123688282,2017-02-09 19:40:10.167683,,,,,,http://www.realestate.com.au/property-house-qld-cannon+hill-123688282,,,,
Qld,-27.4712547,Cannon Hill,153.0981077,124493762,2017-02-09 19:40:10.432282,14 Cannon Hill,1,"Imagine Owning a New Home with $2,000",,4170,http://www.realestate.com.au/property-apartment-qld-cannon+hill-124493762?listingType=buy,2,Apartment,2,
Qld,-27.467539,Cannon Hill,153.0959661,123274702,2017-02-09 19:40:11.310230,Level 1/1918 Creek Rd Road,2,"$414,750",,4170,http://www.realestate.com.au/property-apartment-qld-cannon+hill-123274702,2,Apartment,1,
Qld,-27.4706849,Cannon Hill,153.0900013,201615434,2017-02-09 19:40:12.125868,43 Keats St,,"$1,500,000",,4170,http://www.realestate.com.au/property-residential+land-qld-cannon+hill-201615434,,Residential Land,,1260
Qld,-27.4682282,Cannon Hill,153.0911495,124073386,2017-02-09 19:40:12.863327,335/4 Alutha Street,1,Over 5% Yield!,,4170,http://www.realestate.com.au/property-apartment-qld-cannon+hill-124073386,2,Apartment,2,
Qld,-27.4703551,Cannon Hill,153.0832747,123902010,2017-02-09 19:40:13.559593,57 Molloy Road,2,"Price Guide: $750,000",,4170,http://www.realestate.com.au/property-house-qld-cannon+hill-123902010,5,House,3,513
Qld,-27.4699072,Cannon Hill,153.0949305,124050882,2017-02-09 19:40:14.379519,63 Ludwick Street,1,"$455,000 - 3 left - don't miss out",,4170,http://www.realestate.com.au/property-apartment-qld-cannon+hill-124050882,2,Apartment,2,
Qld,-27.473,Cannon Hill,153.097,124099838,2017-02-09 19:40:15.096239,,1,"From $439,900 - $465,900",,4170,http://www.realestate.com.au/property-apartment-qld-cannon+hill-124099838,2,Apartment,2,
Qld,-27.4730469,Cannon Hill,153.0854831,124115150,2017-02-09 19:40:15.948969,110 Stanton Street,2,"Offers over $610,000",,4170,http://www.realestate.com.au/property-house-qld-cannon+hill-124115150,3,House,1,607
Qld,-27.471717,Cannon Hill,153.1019286,124151074,2017-02-09 19:40:16.836471,Site 113/1189 Wynnum Road,1,"$59,000",,4170,http://www.realestate.com.au/property-other-qld-cannon+hill-124151074,2,Other,1,
Qld,-27.4715689,Cannon Hill,153.0869734,124181650,2017-02-09 19:40:17.655095,70 Dahlia Street,3,Make an Offer,,4170,http://www.realestate.com.au/property-house-qld-cannon+hill-124181650,6,House,2,549
